nbProcess = 3;
nbJobs = 50;
nbMchs = 20;
Process1 =  [3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
     3 3 3 3 3 3 3 3 3 3 3 3 3];
pidle =  [3 3 1 1 2 3 3 3 1 3 3 2 3 2 1 3 2 2 1 3];
EnergyS =  [30 30 10 30 60 30 10 10 10 10 60 30 60 10 30 30 30 60 30 10];
TB =  [16 16 16 16 16 16 8 16 8 16 8 12 8 8 12 8 8 12 8 12];
x =  [[[1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]]
         [[1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]]
         [[1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]]
         [[1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]
             [1 0 0]]
         [[0 1 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 0]
             [0 1 0]
             [0 1 1]
             [0 1 0]
             [0 0 1]
             [0 1 0]
             [0 1 0]
             [0 1 0]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 0 0]
             [0 0 0]
             [0 1 0]
             [0 1 1]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 0 1]
             [0 1 1]
             [0 0 0]
             [0 0 1]
             [0 1 1]
             [0 1 0]
             [0 1 1]
             [0 0 0]
             [0 0 1]
             [0 1 1]
             [0 0 0]
             [0 1 0]
             [0 1 0]
             [0 0 1]
             [0 1 0]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 1 0]]
         [[0 1 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 0]
             [0 1 0]
             [0 1 1]
             [0 1 0]
             [0 0 1]
             [0 1 0]
             [0 1 0]
             [0 1 0]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 0 0]
             [0 0 0]
             [0 1 0]
             [0 1 1]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 0 1]
             [0 1 1]
             [0 0 0]
             [0 0 1]
             [0 1 1]
             [0 1 0]
             [0 1 1]
             [0 0 0]
             [0 0 1]
             [0 1 1]
             [0 0 0]
             [0 1 0]
             [0 1 0]
             [0 0 1]
             [0 1 0]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 1 0]]
         [[0 1 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 0]
             [0 1 0]
             [0 1 1]
             [0 1 0]
             [0 0 1]
             [0 1 0]
             [0 1 0]
             [0 1 0]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 0 0]
             [0 0 0]
             [0 1 0]
             [0 1 1]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 0 1]
             [0 1 1]
             [0 0 0]
             [0 0 1]
             [0 1 1]
             [0 1 0]
             [0 1 1]
             [0 0 0]
             [0 0 1]
             [0 1 1]
             [0 0 0]
             [0 1 0]
             [0 1 0]
             [0 0 1]
             [0 1 0]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 1 0]]
         [[0 1 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 0]
             [0 1 0]
             [0 1 1]
             [0 1 0]
             [0 0 1]
             [0 1 0]
             [0 1 0]
             [0 1 0]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 0 0]
             [0 0 0]
             [0 1 0]
             [0 1 1]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 0 1]
             [0 1 1]
             [0 0 0]
             [0 0 1]
             [0 1 1]
             [0 1 0]
             [0 1 1]
             [0 0 0]
             [0 0 1]
             [0 1 1]
             [0 0 0]
             [0 1 0]
             [0 1 0]
             [0 0 1]
             [0 1 0]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 1 0]]
         [[0 1 1]
             [0 1 0]
             [0 0 1]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 1 1]
             [0 0 1]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 1 0]
             [0 0 0]
             [0 1 0]
             [0 0 1]
             [0 1 0]
             [0 1 1]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 0 0]
             [0 1 0]
             [0 0 0]
             [0 1 0]
             [0 1 0]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 1 1]
             [0 0 1]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 0 0]
             [0 1 0]
             [0 1 1]
             [0 1 0]
             [0 1 1]
             [0 1 0]
             [0 1 1]
             [0 0 1]
             [0 1 1]
             [0 0 1]
             [0 0 1]
             [0 1 1]]
         [[0 1 1]
             [0 1 0]
             [0 0 1]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 1 1]
             [0 0 1]
             [0 1 1]
             [0 0 1]
             [0 0 1]
             [0 1 1]
             [0 1 1]
             [0 1 0]
             [0 0 0]
             [0 1 0]
             [0 0 1]
